Date,Time,Open,High,Low,Close,Volume
2023.01.02,02:00,1.20983,1.20983,1.20978,1.20981,24
2023.01.02,02:15,1.20982,1.20982,1.20936,1.20938,6
2023.01.02,02:30,1.20933,1.20938,1.20833,1.20833,9
2023.01.02,02:45,1.20834,1.2086,1.20828,1.2086,67
2023.01.02,03:00,1.20841,1.20979,1.20833,1.20952,162
2023.01.02,03:15,1.20948,1.20948,1.20922,1.20922,4
2023.01.02,03:30,1.20878,1.20925,1.2087,1.20897,13
2023.01.02,03:45,1.20896,1.20896,1.20845,1.20855,9
2023.01.02,04:00,1.20864,1.20865,1.20828,1.20828,7
2023.01.02,04:15,1.20708,1.2079,1.20708,1.20778,12
2023.01.02,04:30,1.20745,1.20775,1.20742,1.20775,7
2023.01.02,04:45,1.20855,1.20855,1.20728,1.20731,6
2023.01.02,05:00,1.20732,1.20741,1.20731,1.20741,3
2023.01.02,05:15,1.20734,1.20734,1.20734,1.20734,1
2023.01.02,05:30,1.20763,1.20766,1.20752,1.20752,3
2023.01.02,05:45,1.20746,1.20746,1.20732,1.20734,7
2023.01.02,06:00,1.20735,1.20754,1.20735,1.20748,5
2023.01.02,06:15,1.20749,1.2075,1.20749,1.20749,3
2023.01.02,06:30,1.2075,1.20778,1.2075,1.2075,3
2023.01.02,06:45,1.20778,1.20778,1.20744,1.20749,13
2023.01.02,07:00,1.2075,1.2075,1.20723,1.20729,10
2023.01.02,07:15,1.20731,1.20747,1.20723,1.20725,17
2023.01.02,07:30,1.2073,1.20744,1.2073,1.20739,9
2023.01.02,07:45,1.20741,1.20744,1.2073,1.2073,7
2023.01.02,08:00,1.20734,1.20736,1.20661,1.2067,285
2023.01.02,08:15,1.20669,1.20671,1.20667,1.2067,9
2023.01.02,08:30,1.20672,1.20688,1.20654,1.20654,14
2023.01.02,08:45,1.2066,1.20765,1.2066,1.20733,109
2023.01.02,09:00,1.20728,1.2076,1.20725,1.20733,29
2023.01.02,09:15,1.20732,1.20744,1.20687,1.20705,97
2023.01.02,09:30,1.20715,1.20798,1.2066,1.20703,574
2023.01.02,09:45,1.20646,1.20708,1.20592,1.20623,13817
2023.01.02,10:00,1.20619,1.20714,1.20619,1.20682,11785
2023.01.02,10:15,1.20683,1.2073,1.20654,1.20683,3637
2023.01.02,10:30,1.20683,1.20693,1.20627,1.20659,30079
2023.01.02,10:45,1.20659,1.20785,1.20437,1.20483,14236
2023.01.02,11:00,1.20506,1.20557,1.20423,1.20489,7665
2023.01.02,11:15,1.2049,1.20578,1.20489,1.20535,20249
2023.01.02,11:30,1.20533,1.20548,1.20457,1.20501,7502
2023.01.02,11:45,1.20501,1.20517,1.2043,1.20443,5850
2023.01.02,12:00,1.2044,1.20479,1.20436,1.20463,12557
2023.01.02,12:15,1.20463,1.20539,1.20458,1.20531,5629
2023.01.02,12:30,1.20532,1.20532,1.20496,1.20502,196
2023.01.02,12:45,1.20503,1.20503,1.205,1.20502,96
2023.01.02,13:00,1.20503,1.20515,1.20499,1.20503,95
2023.01.02,13:15,1.20515,1.20515,1.20468,1.205,57
2023.01.02,13:30,1.20499,1.20509,1.20498,1.20503,212
2023.01.02,13:45,1.20505,1.20516,1.20493,1.20493,219
2023.01.02,14:00,1.20494,1.20505,1.20493,1.205,141
2023.01.02,14:15,1.20499,1.20503,1.20492,1.20493,185
2023.01.02,14:30,1.20499,1.20507,1.20493,1.20496,213
2023.01.02,14:45,1.20495,1.20503,1.20492,1.20494,136
2023.01.02,15:00,1.20493,1.20501,1.20493,1.20498,54
2023.01.02,15:15,1.20497,1.20502,1.20495,1.20499,147
2023.01.02,15:30,1.20497,1.20505,1.20491,1.205,272
2023.01.02,15:45,1.20502,1.20504,1.20493,1.20498,440
2023.01.02,16:00,1.20498,1.2051,1.20495,1.20507,298
2023.01.02,16:15,1.20507,1.2051,1.2049,1.20505,164
2023.01.02,16:30,1.20498,1.20499,1.20481,1.20494,89
2023.01.02,16:45,1.20493,1.20509,1.20482,1.20498,141
2023.01.02,17:00,1.20498,1.20506,1.20494,1.20497,87
2023.01.02,17:15,1.20498,1.20509,1.20488,1.20492,376
2023.01.02,17:30,1.20493,1.20496,1.20492,1.20492,193
2023.01.02,17:45,1.20492,1.20497,1.20402,1.20418,416
2023.01.02,18:00,1.20415,1.20448,1.20328,1.20448,341
2023.01.02,18:15,1.20458,1.20458,1.20453,1.20455,142
2023.01.02,18:30,1.20454,1.20455,1.20451,1.20454,65
2023.01.02,18:45,1.20455,1.20468,1.20454,1.20455,72
2023.01.02,19:00,1.20454,1.20468,1.20447,1.20455,88
2023.01.02,19:15,1.20432,1.20455,1.20432,1.20453,11
2023.01.02,19:30,1.2045,1.20456,1.20447,1.20453,240
2023.01.02,19:45,1.20452,1.20458,1.20449,1.20453,973
2023.01.02,20:00,1.20454,1.20459,1.20443,1.20447,1812
2023.01.02,20:15,1.20446,1.20462,1.20444,1.20451,1281
2023.01.02,20:30,1.2045,1.20455,1.20443,1.20448,577
2023.01.02,20:45,1.20447,1.20455,1.20444,1.2045,345
2023.01.02,21:00,1.20447,1.20455,1.20436,1.20438,64
2023.01.02,21:15,1.20437,1.20449,1.20422,1.20428,100
2023.01.02,21:30,1.20429,1.20439,1.20429,1.20436,29
2023.01.02,21:45,1.20437,1.20441,1.20434,1.20441,60
2023.01.02,22:00,1.20443,1.20452,1.2044,1.20448,48
2023.01.02,22:15,1.20447,1.20499,1.20442,1.20464,61
2023.01.02,22:30,1.20461,1.20469,1.20452,1.20462,44
2023.01.02,22:45,1.20461,1.20467,1.20447,1.20462,37
2023.01.02,23:00,1.20464,1.20466,1.20447,1.20449,68
2023.01.02,23:15,1.20462,1.20471,1.20451,1.2046,36
2023.01.02,23:30,1.20459,1.20462,1.20439,1.2045,78
2023.01.02,23:45,1.20447,1.20472,1.20434,1.20451,144
2023.01.03,00:00,1.20438,1.20444,1.20403,1.20443,15
2023.01.03,00:15,1.20445,1.20454,1.2044,1.20453,28
2023.01.03,00:30,1.20454,1.20456,1.20454,1.20455,9
2023.01.03,00:45,1.2044,1.20443,1.20431,1.2044,54
2023.01.03,01:00,1.20467,1.20735,1.20467,1.20591,312
2023.01.03,01:15,1.20589,1.20641,1.20475,1.20578,1616
2023.01.03,01:30,1.20579,1.20616,1.20536,1.20579,863
2023.01.03,01:45,1.20579,1.2063,1.20564,1.20615,520
2023.01.03,02:00,1.20617,1.20649,1.20539,1.20566,787
2023.01.03,02:15,1.20567,1.20567,1.20479,1.20503,568
2023.01.03,02:30,1.20504,1.20604,1.20494,1.20581,472
2023.01.03,02:45,1.20579,1.2062,1.20533,1.20535,442
2023.01.03,03:00,1.20534,1.20534,1.20369,1.2049,1296
2023.01.03,03:15,1.20493,1.20557,1.20344,1.20435,1590
2023.01.03,03:30,1.20435,1.2049,1.20348,1.2037,1928
2023.01.03,03:45,1.20371,1.20505,1.20344,1.20505,1037
2023.01.03,04:00,1.20501,1.20585,1.20491,1.2054,787
2023.01.03,04:15,1.20539,1.20633,1.20509,1.20603,787
2023.01.03,04:30,1.20605,1.20755,1.20598,1.20749,1212
2023.01.03,04:45,1.20758,1.20832,1.20697,1.20782,1673
2023.01.03,05:00,1.20781,1.20841,1.20743,1.20748,1430
2023.01.03,05:15,1.20752,1.20769,1.20693,1.20729,1137
2023.01.03,05:30,1.20727,1.208,1.20718,1.2079,1040
2023.01.03,05:45,1.2079,1.20814,1.20714,1.20733,694
2023.01.03,06:00,1.20736,1.2084,1.20713,1.20789,646
2023.01.03,06:15,1.2079,1.2084,1.20765,1.20789,328
2023.01.03,06:30,1.20791,1.20822,1.20781,1.20792,537
2023.01.03,06:45,1.20796,1.2083,1.20718,1.20722,628
2023.01.03,07:00,1.20721,1.20766,1.20718,1.20721,576
2023.01.03,07:15,1.2072,1.20761,1.20649,1.20678,1124
2023.01.03,07:30,1.20674,1.20712,1.20623,1.20696,1081
2023.01.03,07:45,1.207,1.20714,1.20653,1.20687,1165
2023.01.03,08:00,1.20688,1.2074,1.20669,1.20721,1157
2023.01.03,08:15,1.20723,1.20728,1.20645,1.20678,1302
2023.01.03,08:30,1.20678,1.20707,1.20634,1.20652,1344
2023.01.03,08:45,1.20652,1.20659,1.20569,1.20624,1166
2023.01.03,09:00,1.20624,1.20679,1.20598,1.20615,1739
2023.01.03,09:15,1.20618,1.20723,1.20599,1.20711,1386
2023.01.03,09:30,1.20712,1.20787,1.20612,1.20659,1382
2023.01.03,09:45,1.20661,1.20679,1.20213,1.20277,2414
2023.01.03,10:00,1.20278,1.20314,1.19555,1.19589,3067
2023.01.03,10:15,1.19588,1.19643,1.19486,1.1955,2870
2023.01.03,10:30,1.19559,1.19575,1.1935,1.19435,2877
2023.01.03,10:45,1.19433,1.19443,1.19112,1.19116,2225
2023.01.03,11:00,1.19115,1.19235,1.18999,1.19161,2905
2023.01.03,11:15,1.19159,1.193,1.19097,1.19287,1914
2023.01.03,11:30,1.19286,1.19439,1.19274,1.19314,2015
2023.01.03,11:45,1.19312,1.19333,1.19167,1.1923,1624
2023.01.03,12:00,1.19231,1.19347,1.1917,1.19242,1577
2023.01.03,12:15,1.1924,1.1929,1.19108,1.19161,1716
2023.01.03,12:30,1.19161,1.19198,1.19084,1.19153,1369
2023.01.03,12:45,1.19153,1.19182,1.19047,1.19084,1040
2023.01.03,13:00,1.19084,1.192,1.19062,1.1919,1023
2023.01.03,13:15,1.19188,1.19299,1.19157,1.19271,1464
2023.01.03,13:30,1.19271,1.19447,1.19271,1.19364,1426
2023.01.03,13:45,1.19365,1.19397,1.19303,1.19309,1349
2023.01.03,14:00,1.19308,1.19403,1.19232,1.194,1414
2023.01.03,14:15,1.19399,1.19543,1.19381,1.19533,1194
2023.01.03,14:30,1.1953,1.1973,1.19524,1.19728,1111
2023.01.03,14:45,1.19725,1.19733,1.19511,1.1955,1468
2023.01.03,15:00,1.19552,1.19769,1.19475,1.19759,2017
2023.01.03,15:15,1.19758,1.19907,1.19732,1.19796,1712
2023.01.03,15:30,1.19798,1.20044,1.19791,1.20025,1856
2023.01.03,15:45,1.20025,1.20093,1.19923,1.19924,1641
2023.01.03,16:00,1.19924,1.20028,1.19826,1.20017,1510
2023.01.03,16:15,1.20016,1.20139,1.19911,1.20121,1564
2023.01.03,16:30,1.20121,1.2057,1.20063,1.20483,3148
2023.01.03,16:45,1.20485,1.20506,1.20289,1.20292,3594
